id_sentencia,año,tema_principal,tipo_accionante,sujeto_especial_proteccion,edad_aproximada,representacion,tipo_entidad,sector_entidad,derecho_salud,derecho_minimo_vital,debido_proceso,seguridad_social,existe_otro_medio_defensa,medio_es_idoneo,se_alega_perjuicio_irremediable,perjuicio_irremediable_probado,subsidiariedad_cumplida,legitimacion_activa,legitimacion_pasiva,urgencia,afecta_minimo_vital,afecta_salud,caso_involucra_servicio_publico,decision_corte,procedencia_tutela,dias_desde_hecho,hay_inmediatez
t-688,2006,salud,persona_natural,1,76,directo,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-001,2021,salud,persona_natural,1,21,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,107,1
t-392,2023,salud,persona_natural,1,31,directo,pública,salud,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,1,1
t-906,2004,salud,persona_natural,1,,agente_oficioso,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,concede,1,,1
t-186,2005,salud,persona_natural,1,,agente_oficioso,pública,salud,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,niega,0,,1
t-573,2001,salud,persona_natural,1,,agente_oficioso,privada,pensiones,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,improcedente,0,254,1
t-319,2023,salud,persona_natural,0,34,directo,,,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,8,1
t-867,2006,salud,persona_natural,1,26,directo,privada,salud,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,niega,0,273,1
t-1057,2008,salud,persona_natural,1,66,directo,privada,salud,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,niega,0,231,1
t-1057,2008,salud,persona_natural,1,33,directo,privada,salud,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,niega,0,349,1
t-1274,2001,salud,persona_natural,1,,directo,pública,salud,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,niega,0,204,1
t-421,2020,salud,persona_natural,1,26,directo,pública,salud,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,concede,1,118,1
t-519,2017,salud,persona_natural,1,,directo,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,49,1
t-519,2017,salud,persona_natural,0,53,directo,privada,salud,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,niega,0,375,1
t-565,2023,salud,persona_natural,1,25,directo,pública,otro,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,improcedente,0,153,1
t-558,2023,salud,persona_natural,1,8,agente_oficioso,privada,otro,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,concede,1,60,1
t-185,2024,salud,persona_natural,1,81,directo,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-453,2025,salud,persona_natural,1,24,agente_oficioso,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,concede,1,23,1
t-453,2025,salud,persona_natural,1,4,agente_oficioso,privada,salud,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,concede,1,7,1
t-935,2010,salud,persona_natural,0,33,directo,privada,salud,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,niega,0,295,1
